4.12.2018 14:57:53; ErrStep= -1; 
4.12.2018 14:58:06; ErrStep= -1; 
5.12.2018 9:50:43; ErrStep= -1; 
11.12.2018 10:12:00; ErrStep= -1; 
11.12.2018 10:23:44; ErrStep= -1; 
11.12.2018 10:27:54; ErrStep= -1; 
17.12.2018 13:24:43; ErrStep= -1; 
20.12.2018 14:19:07; ErrStep= -1; 
21.12.2018 10:27:38; ErrStep= -1; 
31.12.2018 9:37:21; ErrStep= -1; 
8.1.2019 8:21:52; ErrStep= -1; 
9.1.2019 9:19:55; ErrStep= -1; 
11.1.2019 14:16:46; ErrStep= -1; 
14.1.2019 8:26:33; ErrStep= -1; 
16.1.2019 8:19:51; ErrStep= -1; 
18.1.2019 8:14:58; ErrStep= -1; 
24. 01. 2019 14:42:29; ErrStep= 1; Provider cannot be found. It may not be properly installed.
31. 01. 2019 08:15:53; ErrStep= -1; 
31. 01. 2019 08:33:38; ErrStep= -1; 
31. 01. 2019 08:35:26; ErrStep= -1; 
