W, Razpolozljiva_zaloga, Datum_naslednjega_narocila, Kolicina_narocila 
W10000623+00002, 2000 , , 
W10000626+00002, 969 , 14.02.2019, 1008 
W10002968, 1125 , 15.02.2019, 1800 
W10006119+00001, 594 , 23.01.2019, 3024 
W10006119+00002, 8298 , 24.01.2019, 8064 
W10006119+00003, 9135 , , 
W10006119+00005, 3660 , , 
W10006121, 396 , 23.01.2019, 4032 
W10006701+00002, 1000 , 21.01.2019, 500-
W10006701+00003, 6500 , , 
W10006701+00005, 3150 , 19.02.2019, 2500 
W10007241+00001, 5382 , , 
W10007241+00002, 11268 , , 
W10007241+00005, 3270 , 20.02.2019, 4032 
W10007242+00002, 8750 , , 
W10007243+00001, 3420 , , 
W10007243+00002, 3744 , 18.01.2019, 2016 
W10007243+00005, 1080 , 19.02.2019, 2016 
W10007347, 1044 , , 
W10007362+00001, 800 , 04.02.2019, 100 
W10007363+00002, 13518 , , 
W10007363+00003, 5040 , , 
W10007363+00005, 3075 , , 
W10007364, 976 , 20.02.2019, 32 
W10008495, 3500 , , 
W10012089, 1472 , 05.02.2019, 1120 
W10052933, 225 , 19.02.2019, 300 
W10007363+00001, 2628 , , 
