1. 01. 2019 18:36:03; ErrStep= 3; 
1. 01. 2019 18:40:00; ErrStep= 3; 
3.1.2019 9:33:03; ErrStep= -1; 
4.1.2019 9:27:22; ErrStep= -1; 
4.1.2019 9:42:49; ErrStep= -1; 
4.1.2019 10:39:37; ErrStep= -1; 
7.1.2019 12:55:29; ErrStep= -1; 
8.1.2019 8:15:14; ErrStep= -1; 
11.1.2019 13:02:44; ErrStep= -1; 
11.1.2019 14:18:33; ErrStep= -1; 
14.1.2019 8:28:28; ErrStep= -1; 
15.1.2019 19:04:03; ErrStep= 4; The control could not be found by id.
15.1.2019 19:04:58; ErrStep= 4; Neujemanje tipov
15.1.2019 19:07:27; ErrStep= 4; Neujemanje tipov
15.1.2019 19:09:43; ErrStep= 4; The control could not be found by id.
15.1.2019 19:10:16; ErrStep= 4; Neujemanje tipov
15.1.2019 19:11:38; ErrStep= -1; 
16.1.2019 8:21:28; ErrStep= -1; 
17.1.2019 12:28:25; ErrStep= -1; 
17.1.2019 12:29:38; ErrStep= 4; The control could not be found by id.
17.1.2019 12:31:45; ErrStep= 4; The control could not be found by id.
17.1.2019 12:32:25; ErrStep= 4; 
17.1.2019 12:35:23; ErrStep= -1; 
17.1.2019 12:37:48; ErrStep= -1; 
17.1.2019 12:39:27; ErrStep= -1; 
18.1.2019 8:16:55; ErrStep= -1; 
21.1.2019 8:47:48; ErrStep= -1; 
21.1.2019 8:48:44; ErrStep= 4; »D:\DATA\03_VarilnaZica\W_varilna_zica.xlsx« žal ni mogoèe najti.  Morda je bila datoteka preimenovana, premaknjena ali izbrisana?
21.1.2019 8:52:27; ErrStep= 6; Poti ni mogoèe najti
21.1.2019 8:57:48; ErrStep= 4; 
21.1.2019 8:58:35; ErrStep= 6; Poti ni mogoèe najti
21. 01. 2019 09:35:28; ErrStep= 3; The control could not be found by id.
21. 01. 2019 09:55:06; ErrStep= 3; The control could not be found by id.
21. 01. 2019 09:56:09; ErrStep= -1; 
21. 01. 2019 09:58:05; ErrStep= -1; 
21. 01. 2019 10:05:57; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:10:04; ErrStep= 3; »W_varilna_zica.xlsx« žal ni mogoèe najti.  Morda je bila datoteka preimenovana, premaknjena ali izbrisana?
21. 01. 2019 10:14:38; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:15:59; ErrStep= 3; Microsoft Excel ne more dostopiti do datoteke »\\ssimarfile01\CC\CF_WERK\TMP\Studenti\2018_Leon\DATA\03_VarilnaZicaW_varilna_zica.xlsx«. Za to je veè mogoèih razlogov:

• Ime datoteke ali pot do nje ne obstaja.
• Datoteko uporablja drug program.
• Ime delovnega zvezka, ki ga želite shraniti, je enako imenu trenutno odprtega delovnega zvezka.
21. 01. 2019 10:16:56; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:20:44; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:21:17; ErrStep= -1; 
21. 01. 2019 10:21:53; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:22:43; ErrStep= -1; 
21. 01. 2019 10:25:41; ErrStep= -1; 
21. 01. 2019 10:27:22; ErrStep= -1; 
21. 01. 2019 10:28:21; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:29:43; ErrStep= -1; 
21. 01. 2019 10:30:20; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:31:01; ErrStep= -1; 
21. 01. 2019 10:31:51; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:33:21; ErrStep= -1; 
21. 01. 2019 10:34:52; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:40:33; ErrStep= -1; 
21. 01. 2019 10:43:20; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:45:31; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:46:04; ErrStep= 3; The control could not be found by id.
21. 01. 2019 10:49:41; ErrStep= -1; 
21. 01. 2019 11:01:42; ErrStep= 3; The control could not be found by id.
21. 01. 2019 13:28:37; ErrStep= -1; 
22. 01. 2019 06:50:14; ErrStep= -1; 
29. 01. 2019 08:22:53; ErrStep= -1; 
29. 01. 2019 08:23:52; ErrStep= -1; 
29. 01. 2019 08:24:47; ErrStep= 2; 
29. 01. 2019 08:25:43; ErrStep= -1; 
29. 01. 2019 08:29:31; ErrStep= -1; 
29. 01. 2019 08:31:23; ErrStep= -1; 
29. 01. 2019 08:32:03; ErrStep= -1; 
