21. 01. 2019 11:57:03; ErrStep= 3; 
21. 01. 2019 11:59:34; ErrStep= 3; 
21. 01. 2019 12:00:32; ErrStep= 3; 
21. 01. 2019 12:05:12; ErrStep= 3; The control could not be found by id.
21. 01. 2019 12:07:56; ErrStep= 3; 
21. 01. 2019 12:10:30; ErrStep= -1; 
21. 01. 2019 12:12:52; ErrStep= -1; 
21. 01. 2019 12:21:32; ErrStep= 3; The control could not be found by id.
21. 01. 2019 12:22:15; ErrStep= 3; The control could not be found by id.
21. 01. 2019 12:22:52; ErrStep= 3; The control could not be found by id.
21. 01. 2019 12:23:06; ErrStep= 3; The method got an invalid argument.
21. 01. 2019 12:24:08; ErrStep= 3; 
21. 01. 2019 12:24:18; ErrStep= 3; The control could not be found by id.
21. 01. 2019 12:24:34; ErrStep= 3; The method got an invalid argument.
21. 01. 2019 12:40:17; ErrStep= -1; 
21. 01. 2019 13:29:29; ErrStep= 2; 
21. 01. 2019 13:29:45; ErrStep= 3; The control could not be found by id.
21. 01. 2019 13:29:58; ErrStep= 2; The enumerator of the collection cannot find en element with the specified index.
21. 01. 2019 13:30:46; ErrStep= -1; 
21. 01. 2019 13:34:21; ErrStep= -1; 
21. 01. 2019 13:55:03; ErrStep= -1; 
21. 01. 2019 13:58:14; ErrStep= -1; 
21. 01. 2019 13:59:41; ErrStep= -1; 
21. 01. 2019 14:55:29; ErrStep= 1; 
21. 01. 2019 14:55:48; ErrStep= 3; The control could not be found by id.
21. 01. 2019 14:56:01; ErrStep= 3; The control could not be found by id.
21. 01. 2019 14:57:03; ErrStep= 3; The control could not be found by id.
22. 01. 2019 06:52:24; ErrStep= -1; 
22. 01. 2019 07:31:49; ErrStep= -1; 
22. 01. 2019 07:33:23; ErrStep= -1; 
22. 01. 2019 08:41:43; ErrStep= -1; 
22. 01. 2019 08:43:41; ErrStep= -1; 
24. 01. 2019 07:40:06; ErrStep= 2; Neujemanje tipov
24. 01. 2019 07:40:40; ErrStep= 2; Neujemanje tipov
24. 01. 2019 07:41:29; ErrStep= 2; Neujemanje tipov
24. 01. 2019 07:41:59; ErrStep= 2; Neujemanje tipov
24. 01. 2019 07:44:13; ErrStep= 3; The control could not be found by id.
24. 01. 2019 07:45:36; ErrStep= -1; 
24. 01. 2019 07:56:48; ErrStep= 2; Neujemanje tipov
24. 01. 2019 07:58:09; ErrStep= -1; 
24. 01. 2019 08:42:31; ErrStep= -1; 
24. 01. 2019 12:55:14; ErrStep= 2; Neujemanje tipov
24. 01. 2019 12:55:36; ErrStep= 2; Neujemanje tipov
24. 01. 2019 12:56:43; ErrStep= 2; Neujemanje tipov
24. 01. 2019 12:57:15; ErrStep= 2; Neujemanje tipov
24. 01. 2019 12:57:49; ErrStep= 3; The control could not be found by id.
24. 01. 2019 12:59:33; ErrStep= -1; 
