datum;MS;Tim;CC;Enote;Podjetje;Poklic;H_skupaj;H_1;H_2;H_3;H_bolniska;H_dopust;H_nadure;H_minus;Stej
10.1.2019;8001;93,0;MGK;P;Palfinger;Montažer II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8002;79,0;GKC;P;Palfinger;Kljuèavnièar-varilec;8,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;1
10.1.2019;8027;60,0;KS;PR;Palfinger;Delovodja;7,433333333333334;7,283333333333333;0,15000000000000036;0,0;0,0;0,0;0,0;-0,5666666666666664;1
10.1.2019;8042;51,0;GG;P;Palfinger;Kljuèavnièar-varilec;12,0;8,0;0,0;4,0;0,0;0,0;4,0;0,0;1
10.1.2019;8043;41,0;BF;P;Palfinger;CNC operater II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8046;55,0;GG;P;Palfinger;Varilec na robotu;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8053;93,0;MGK;P;Palfinger;Montažer II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8072;55,0;GG;P;Palfinger;Varilec na robotu;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8095;41,0;BF;P;Palfinger;Kljuèavnièar PO;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8113;30,0;LAK;P;Palfinger;Lièar II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8116;79,0;GKC;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8124;57,0;EPS;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8137;41,0;BF;P;Palfinger;Pomožni kljuèavnièar;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8143;59,0;EPS;P;Palfinger;CNC operater;8,0;0,0;0,0;0,0;0,0;8,0;0,0;0,0;1
10.1.2019;8145;17,0;ST;PR;Palfinger;Varilni mojster EWS;8,300000000000002;1,2666666666666675;7,033333333333335;0,0;0,0;0,0;0,3000000000000025;0,0;1
10.1.2019;8151;76,0;GTC;P;Palfinger;CNC operater;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8168;79,0;GKC;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8169;79,0;GKC;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8170;91,0;LAK;P;Palfinger;Operater lakirnice II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8171;30,0;GG;P;Palfinger;Skladišènik II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8173;62,0;KS;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8174;84,0;GTC;P;Palfinger;Kljuèavnièar-varilec II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8175;12,0;LOG;PR;Palfinger;Voznik vilièarja II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8176;98,0;MGK;P;Palfinger;Montažer II;11,0;7,0;0,0;4,0;0,0;0,0;3,0;0,0;1
10.1.2019;8177;67,0;EPS;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8178;85,0;GTC;P;Palfinger;Kljuèavnièar-varilec II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8179;57,0;EPS;P;Palfinger;Varilec na robotu;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8180;92,0;MGK;P;Palfinger;Montažer II;12,0;0,0;8,0;4,0;0,0;0,0;4,0;0,0;1
10.1.2019;8181;61,0;KSR;P;Palfinger;Kljuèavnièar-varilec II;12,0;8,0;4,0;0,0;0,0;0,0;4,0;0,0;1
10.1.2019;8183;80,0;GTC;PR;Palfinger;Delovodja;8,666666666666668;8,0;0,5;0,16666666666666696;0,0;0,0;0,6666666666666679;0,0;1
10.1.2019;8184;79,0;GKC;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8186;59,0;EPS;P;Palfinger;CNC operater II;8,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;1
10.1.2019;8190;70,0;GKC;PR;Palfinger;Skladišènik;10,0;8,0;2,0;0,0;0,0;0,0;2,0;0,0;1
10.1.2019;8191;57,0;EPS;P;Palfinger;Kljuèavnièar-varilec;8,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;1
10.1.2019;8192;65,0;KS;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8193;93,0;MGK;P;Palfinger;Montažer II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8194;65,0;KS;P;Palfinger;Kljuèavnièar-varilec II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8195;68,0;KS;P;Palfinger;Kljuèavnièar-varilec II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8200;61,0;KSR;P;Palfinger;Kljuèavnièar-varilec II;8,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;1
10.1.2019;8201;90,0;MGK;PR;Palfinger;Tehnolog;10,416666666666666;8,0;1,3833333333333329;1,0333333333333332;0,0;0,0;2,416666666666666;0,0;1
10.1.2019;8202;40,0;BF;PR;Palfinger;Kontrolor II;9,15;8,0;0,3000000000000007;0,8499999999999996;0,0;0,0;1,1500000000000004;0,0;1
10.1.2019;8203;43,0;BF;P;Palfinger;CNC operater II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8204;42,0;BF;P;Palfinger;Operater upogibnih strojev II;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8205;55,0;GG;P;Palfinger;Varilec na robotu;8,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;1
10.1.2019;8207;92,0;MGK;P;Palfinger;Montažer II;12,0;1,0;8,0;3,0;0,0;0,0;4,0;0,0;1
10.1.2019;8210;41,0;BF;P;Palfinger;CNC operater II;12,0;0,0;4,0;8,0;0,0;0,0;4,0;0,0;1
10.1.2019;8211;92,0;MGK;P;Palfinger;Montažer II;12,0;0,0;8,0;4,0;0,0;0,0;4,0;0,0;1
10.1.2019;8212;85,0;GTC;P;Palfinger;Kljuèavnièar-varilec II;10,0;0,0;5,0;5,0;0,0;0,0;2,0;0,0;1
10.1.2019;8215;41,0;BF;P;Palfinger;Kljuèavnièar II;8,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;1
