'PROCESS'; 'DATE'; 'TIME' 
'01_OHS'; ned. 02. 12. 2018; 10:35:36,43 
'01_OHS'; ned. 02. 12. 2018; 10:35:37,98 
'01_OHS'; ned. 02. 12. 2018; 10:35:40,07 
'01_OHS'; ned. 02. 12. 2018; 10:37:57,31 
'01_OHS'; ned. 02. 12. 2018; 10:38:50,77 
'01_OHS'; ned. 02. 12. 2018; 10:41:04,80 
'01_OHS'; ned. 02. 12. 2018; 10:44:01,56 
'01_OHS'; tor 04.12.2018; 11:34:39,92 
'01_OHS'; tor 04.12.2018; 11:39:32,92 
'01_OHS'; tor 04.12.2018; 11:46:23,32 
'01_OHS'; tor 04.12.2018; 11:48:18,12 
'01_OHS'; tor 04.12.2018; 11:50:53,07 
'01_OHS'; tor 04.12.2018; 14:34:10,63 
'01_OHS'; tor 04.12.2018; 14:36:22,07 
'01_OHS'; tor 04.12.2018; 14:36:51,41 
'01_OHS'; tor 04.12.2018; 14:58:06,31 
'01_OHS'; sre 05.12.2018;  9:50:43,75 
'01_Zaposleni_Kadrovska_ver02.xlsx'; sre 05.12.2018;  9:50:43,78 
'01_OHS'; tor 11.12.2018; 10:12:00,16 
'01_Zaposleni_Kadrovska_ver02.xlsx'; tor 11.12.2018; 10:12:00,22 
'01_OHS'; tor 11.12.2018; 10:23:44,46 
'01_Zaposleni_Kadrovska_ver02.xlsx'; tor 11.12.2018; 10:23:44,49 
'01_OHS'; tor 11.12.2018; 10:27:54,15 
'01_Zaposleni_Kadrovska_ver02.xlsx'; tor 11.12.2018; 10:27:54,19 
'02_ZPRLAW'; sre 12.12.2018; 15:35:37,03 
'02_ZPRLAW'; Ÿet 13.12.2018;  9:45:55,04 
'01_OHS'; pon 17.12.2018; 13:24:43,95 
'01_Zaposleni_Kadrovska_ver02.xlsx'; pon 17.12.2018; 13:24:44,00 
'02_ZPRLAW'; pon 17.12.2018; 13:25:07,17 
'02_ZPRLAW'; pon 17.12.2018; 13:27:37,52 
'01_OHS'; Ÿet 20.12.2018; 14:19:07,44 
'01_Zaposleni_Kadrovska_ver02.xlsx'; Ÿet 20.12.2018; 14:19:07,52 
'02_ZPRLAW'; pet 21.12.2018; 10:16:06,63 
'01_OHS'; pet 21.12.2018; 10:27:38,66 
'01_Zaposleni_Kadrovska_ver02.xlsx'; pet 21.12.2018; 10:27:38,73 
'01_OHS'; pon 31.12.2018;  9:37:21,31 
'01_Zaposleni_Kadrovska_ver02.xlsx'; pon 31.12.2018;  9:37:21,38 
'02_ZPRLAW'; pon 31.12.2018;  9:38:51,00 
'03_VarilnaZica'; tor. 01. 01. 2019; 18:40:00,02 
'02_ZPRLAW'; tor. 01. 01. 2019; 18:41:25,03 
'03_VarilnaZica'; Ÿet 03.01.2019;  9:33:03,54 
'02_ZPRLAW'; Ÿet 03.01.2019; 10:52:20,23 
'02_ZPRLAW'; Ÿet 03.01.2019; 10:53:27,65 
'03_VarilnaZica'; pet 04.01.2019; 10:39:37,88 
'03_VarilnaZica'; pon 07.01.2019; 12:55:29,22 
'03_VarilnaZica'; tor 08.01.2019;  8:15:14,74 
'02_ZPRLAW'; tor 08.01.2019;  8:17:19,28 
'01_OHS'; tor 08.01.2019;  8:21:52,41 
'01_Zaposleni_Kadrovska_ver02.xlsx'; tor 08.01.2019;  8:21:52,46 
'01_OHS'; sre 09.01.2019;  9:19:55,64 
'01_Zaposleni_Kadrovska_ver02.xlsx'; sre 09.01.2019;  9:19:55,68 
'03_VarilnaZica'; pet 11.01.2019; 13:02:44,46 
'01_OHS'; pet 11.01.2019; 14:16:46,76 
'01_Zaposleni_Kadrovska_ver02.xlsx'; pet 11.01.2019; 14:16:46,81 
'02_ZPRLAW'; pet 11.01.2019; 14:18:15,78 
'03_VarilnaZica'; pet 11.01.2019; 14:18:33,60 
'01_OHS'; pon 14.01.2019;  8:26:33,20 
'01_Zaposleni_Kadrovska_ver02.xlsx'; pon 14.01.2019;  8:26:33,26 
'02_ZPRLAW'; pon 14.01.2019;  8:28:10,80 
'03_VarilnaZica'; pon 14.01.2019;  8:28:28,81 
'03_VarilnaZica'; tor 15.01.2019; 18:48:05,03 
'03_VarilnaZica'; tor 15.01.2019; 18:51:22,17 
'03_VarilnaZica'; tor 15.01.2019; 18:58:13,59 
'03_VarilnaZica'; tor 15.01.2019; 19:00:57,65 
'03_VarilnaZica'; tor 15.01.2019; 19:04:58,93 
'01_OHS'; sre 16.01.2019;  8:19:51,73 
'01_Zaposleni_Kadrovska_ver02.xlsx'; sre 16.01.2019;  8:19:51,78 
'02_ZPRLAW'; sre 16.01.2019;  8:21:07,31 
'03_VarilnaZica'; sre 16.01.2019;  8:21:28,93 
'03_VarilnaZica'; Ÿet 17.01.2019; 12:39:52,53 
'01_OHS'; pet 18.01.2019;  8:14:58,74 
'01_Zaposleni_Kadrovska_ver02.xlsx'; pet 18.01.2019;  8:14:58,84 
'02_ZPRLAW'; pet 18.01.2019;  8:16:32,53 
'03_VarilnaZica'; pet 18.01.2019;  8:17:17,85 
'03_VarilnaZica'; pon 21.01.2019;  8:48:45,36 
'03_VarilnaZica'; pon 21.01.2019;  8:52:28,94 
'03_VarilnaZica'; pon 21.01.2019;  8:58:06,38 
'03_VarilnaZica'; pon 21.01.2019;  8:58:52,31 
'05_Spica'; tor. 22. 01. 2019;  8:13:27,26 
'05_Spica'; tor. 22. 01. 2019;  8:34:15,28 
'05_Spica'; tor. 22. 01. 2019;  8:36:29,13 
'05_Spica'; tor. 22. 01. 2019;  8:36:50,94 
'05_Spica'; tor. 22. 01. 2019; 12:16:18,50 
'04_ZPRMA1'; Ÿet. 24. 01. 2019;  7:41:29,02 
