	Narocnik	Povzrocit.	Postavka	Prej.blag.	Izdaja bl.	Material	Odprta klc	OEM	KumulKlc	Datum
	143684.0	1181315	100	143684	26.04.2017	KOST09	1	KOS	1	29.08.2017
	148113.0	311005253	600	1481130002	19.05.2017	KOST08	1	KOS	1	29.08.2017
	148113.0	311005254	600	1481130002	19.05.2017	KOST08	1	KOS	1	29.08.2017
	148113.0	311005255	600	1481130002	19.05.2017	KOST08	1	KOS	1	29.08.2017
	148113.0	311005256	600	1481130002	26.05.2017	KOST08	1	KOS	1	29.08.2017
	144876.0	1200080	200	144876	13.06.2017	RSO 390	11	DM	11	29.08.2017
	148113.0	311005265	600	1481130002	30.06.2017	KOST08	1	KOS	1	29.08.2017
	148113.0	311005265	500	1481130002	30.06.2017	GARV-VER01	1	KOS	1	29.08.2017
	148113.0	311005265	400	1481130002	30.06.2017	KOST13	1	KOS	1	29.08.2017
	148113.0	311005265	300	1481130002	30.06.2017	KOST13	1	KOS	1	29.08.2017
	148113.0	311005265	200	1481130002	30.06.2017	KOST01	1	KOS	1	29.08.2017
	148113.0	311005265	100	1481130002	30.06.2017	PM008KM03	1	KOS	1	29.08.2017
	19.0	1207834	100	100186	04.07.2017	KOST09	1	KOS	1	29.08.2017
	1024.0	1199935	31	1024	18.07.2017	B1024AGE0309	6	KOS	6	29.08.2017
	1024.0	1199935	32	1024	18.07.2017	B1024AGE0311	6	KOS	6	29.08.2017
	1024.0	1199935	33	1024	18.07.2017	B1024AGE0312	24	KOS	24	29.08.2017
	1024.0	1199935	34	1024	18.07.2017	B1024AGE0314	6	KOS	6	29.08.2017
	1024.0	1199935	35	1024	18.07.2017	B1024AGE0315	6	KOS	6	29.08.2017
	1024.0	1199935	36	1024	18.07.2017	B1024AGE0316	12	KOS	12	29.08.2017
	1024.0	1199935	37	1024	18.07.2017	B1024AGE0318	6	KOS	6	29.08.2017
	1024.0	1199935	38	1024	18.07.2017	B1024AGR0131	12	KOS	12	29.08.2017
	1024.0	1199935	39	1024	18.07.2017	B1024AGR0610	24	KOS	24	29.08.2017
	1024.0	1199935	40	1024	18.07.2017	MW700587	6	KOS	6	29.08.2017
	1024.0	1199935	41	1024	18.07.2017	B1024AGR0102	6	KOS	6	29.08.2017
	1024.0	1199935	42	1024	18.07.2017	B1024AGR0105	6	KOS	6	29.08.2017
	1024.0	1199935	43	1024	18.07.2017	B1024AGR0106	6	KOS	6	29.08.2017
	1024.0	1199935	44	1024	18.07.2017	B1024AGR0109	12	KOS	12	29.08.2017
	1024.0	1199935	45	1024	18.07.2017	B1024AGR0115	6	KOS	6	29.08.2017
	1024.0	1199935	46	1024	18.07.2017	B1024AGR0118	6	KOS	6	29.08.2017
	1024.0	1199935	47	1024	18.07.2017	B1024AGR0119	6	KOS	6	29.08.2017
	1024.0	1199935	48	1024	18.07.2017	B1024AGR0120	6	KOS	6	29.08.2017
	1024.0	1199935	49	1024	18.07.2017	B1024AGR0121	6	KOS	6	29.08.2017
	1024.0	1199935	50	1024	18.07.2017	B1024AGR0122	6	KOS	6	29.08.2017
	1024.0	1199935	51	1024	18.07.2017	B1024AGR0123	6	KOS	6	29.08.2017
	1024.0	1199935	52	1024	18.07.2017	B1024AGR0124	6	KOS	6	29.08.2017
	1024.0	1199935	53	1024	18.07.2017	B1024AGR0125	6	KOS	6	29.08.2017
	1024.0	1199935	54	1024	18.07.2017	B1024AGR0132	6	KOS	6	29.08.2017
	1024.0	1199935	7	1024	18.07.2017	B1024AGE0118	6	KOS	6	29.08.2017
	1024.0	1199935	8	1024	18.07.2017	B1024AGE0120	6	KOS	6	29.08.2017
	1024.0	1199935	9	1024	18.07.2017	B1024AGE0121	12	KOS	12	29.08.2017
	1024.0	1199935	10	1024	18.07.2017	B1024AGE0122	6	KOS	6	29.08.2017
	1024.0	1199935	11	1024	18.07.2017	B1024AGE0123	6	KOS	6	29.08.2017
	1024.0	1199935	12	1024	18.07.2017	B1024AGE0124	6	KOS	6	29.08.2017
	1024.0	1199935	13	1024	18.07.2017	B1024AGE0125	6	KOS	6	29.08.2017
	1024.0	1199935	14	1024	18.07.2017	B1024AGE0126	12	KOS	12	29.08.2017
	1024.0	1199935	15	1024	18.07.2017	B1024AGE0129	6	KOS	6	29.08.2017
	1024.0	1199935	16	1024	18.07.2017	B1024AGE0130	6	KOS	6	29.08.2017
	1024.0	1199935	17	1024	18.07.2017	B1024AGE0134	12	KOS	12	29.08.2017
	1024.0	1199935	18	1024	18.07.2017	B1024AGE0136	12	KOS	12	29.08.2017
	1024.0	1199935	19	1024	18.07.2017	B1024AGE0137	6	KOS	6	29.08.2017
	1024.0	1199935	20	1024	18.07.2017	B1024AGE0138	6	KOS	6	29.08.2017
	1024.0	1199935	21	1024	18.07.2017	B1024AGE0139	6	KOS	6	29.08.2017
	1024.0	1199935	22	1024	18.07.2017	B1024AGE0140	6	KOS	6	29.08.2017
	1024.0	1199935	23	1024	18.07.2017	B1024AGE0141	12	KOS	12	29.08.2017
	1024.0	1199935	24	1024	18.07.2017	B1024AGE0142	24	KOS	24	29.08.2017
	1024.0	1199935	25	1024	18.07.2017	B1024AGE0143	6	KOS	6	29.08.2017
	1024.0	1199935	26	1024	18.07.2017	B1024AGE0145	6	KOS	6	29.08.2017
	1024.0	1199935	27	1024	18.07.2017	B1024AGE0146	6	KOS	6	29.08.2017
	1024.0	1199935	28	1024	18.07.2017	B1024AGE0306	12	KOS	12	29.08.2017
	1024.0	1199935	29	1024	18.07.2017	B1024AGE0307	12	KOS	12	29.08.2017
	1024.0	1199935	30	1024	18.07.2017	B1024AGE0308	12	KOS	12	29.08.2017
	1024.0	1199935	79	1024	18.07.2017	B1024ASR0108	12	KOS	12	29.08.2017
	1024.0	1199935	80	1024	18.07.2017	B1024ASR0111	24	KOS	24	29.08.2017
	1024.0	1199935	81	1024	18.07.2017	B1024ASR0113	48	KOS	48	29.08.2017
	1024.0	1199935	82	1024	18.07.2017	B1024ASR0116	6	KOS	6	29.08.2017
	1024.0	1199935	83	1024	18.07.2017	B1024ASR0118	48	KOS	48	29.08.2017
	1024.0	1199935	84	1024	18.07.2017	B1024ASR0117	6	KOS	6	29.08.2017
	1024.0	1199935	85	1024	18.07.2017	B1024ASR0201	6	KOS	6	29.08.2017
	1024.0	1199935	86	1024	18.07.2017	B1024ASR0202	6	KOS	6	29.08.2017
	1024.0	1199935	87	1024	18.07.2017	B1024AGE0132	6	KOS	6	29.08.2017
	1024.0	1199935	88	1024	18.07.2017	B1024AGE0310	6	KOS	6	29.08.2017
	1024.0	1199935	89	1024	18.07.2017	B1024AGR0149	6	KOS	6	29.08.2017
	1024.0	1199935	90	1024	18.07.2017	B1024AGR0151	12	KOS	12	29.08.2017
	1024.0	1199935	91	1024	18.07.2017	B1024AGR0152	6	KOS	6	29.08.2017
	1024.0	1199935	92	1024	18.07.2017	B1024AGR0153	12	KOS	12	29.08.2017
	1024.0	1199935	93	1024	18.07.2017	B1024ASR0301	6	KOS	6	29.08.2017
	1024.0	1199935	94	1024	18.07.2017	B1024ASR0302	6	KOS	6	29.08.2017
	1024.0	1199935	95	1024	18.07.2017	B1024ASR0305	12	KOS	12	29.08.2017
	1024.0	1199935	96	1024	18.07.2017	B1024ASR0306	6	KOS	6	29.08.2017
	1024.0	1199935	97	1024	18.07.2017	B1024ASR0702	6	KOS	6	29.08.2017
	1024.0	1199935	98	1024	18.07.2017	B1024ASR0703	24	KOS	24	29.08.2017
	1024.0	1199935	99	1024	18.07.2017	B1024ASR0704	12	KOS	12	29.08.2017
	1024.0	1199935	100	1024	18.07.2017	B6026ESR0308	6	KOS	6	29.08.2017
	1024.0	1199935	101	1024	18.07.2017	MW034598	6	KOS	6	29.08.2017
	19.0	1204509	1	100186	18.07.2017	YHSL26X1	1	KOS	1	29.08.2017
	1024.0	1199935	55	1024	18.07.2017	B1024AGR0133	6	KOS	6	29.08.2017
	1024.0	1199935	56	1024	18.07.2017	B1024AGR0134	6	KOS	6	29.08.2017
	1024.0	1199935	57	1024	18.07.2017	B1024AGR0137	6	KOS	6	29.08.2017
	1024.0	1199935	58	1024	18.07.2017	B1024AGR0138	6	KOS	6	29.08.2017
	1024.0	1199935	59	1024	18.07.2017	B1024AGR0139	12	KOS	12	29.08.2017
	1024.0	1199935	60	1024	18.07.2017	B1024AGR0140	12	KOS	12	29.08.2017
	1024.0	1199935	61	1024	18.07.2017	B1024AGR0141	12	KOS	12	29.08.2017
	1024.0	1199935	62	1024	18.07.2017	B1024AGR0142	12	KOS	12	29.08.2017
	1024.0	1199935	63	1024	18.07.2017	B1024AGR0144	12	KOS	12	29.08.2017
	1024.0	1199935	64	1024	18.07.2017	B1024AGR0145	12	KOS	12	29.08.2017
	1024.0	1199935	65	1024	18.07.2017	B1024AGR0147	6	KOS	6	29.08.2017
	1024.0	1199935	66	1024	18.07.2017	B1024AGR0148	12	KOS	12	29.08.2017
	1024.0	1199935	67	1024	18.07.2017	B1024AGR0116	6	KOS	6	29.08.2017
	1024.0	1199935	68	1024	18.07.2017	B1024AGR0143	6	KOS	6	29.08.2017
	1024.0	1199935	69	1024	18.07.2017	B1024AGR0150	6	KOS	6	29.08.2017
	1024.0	1199935	70	1024	18.07.2017	B1024AGR0201	6	KOS	6	29.08.2017
	1024.0	1199935	71	1024	18.07.2017	B1024AGR0202	6	KOS	6	29.08.2017
	1024.0	1199935	72	1024	18.07.2017	B1024ASR0104	24	KOS	24	29.08.2017
	1024.0	1199935	73	1024	18.07.2017	B1024ASR0114	12	KOS	12	29.08.2017
	1024.0	1199935	74	1024	18.07.2017	B1024ASR0101	6	KOS	6	29.08.2017
	1024.0	1199935	75	1024	18.07.2017	B1024ASR0102	6	KOS	6	29.08.2017
	1024.0	1199935	76	1024	18.07.2017	B1024ASR0103	12	KOS	12	29.08.2017
